instrument,datetime,buy/sell,status,size,order ref
NZD_USD, 2017-01-19 22:00:00, Buy, Submitted, 88759.2067072801, 1
NZD_USD, 2017-01-19 22:00:00, Sell, Submitted, -88759.2067072801, 2
NZD_USD, 2017-01-19 22:00:00, Sell, Submitted, -88759.2067072801, 3
NZD_USD, 2017-01-19 22:00:00, Buy, Accepted, 88759.2067072801, 1
NZD_USD, 2017-01-19 22:00:00, Sell, Accepted, -88759.2067072801, 2
NZD_USD, 2017-01-19 22:00:00, Sell, Accepted, -88759.2067072801, 3
NZD_USD, 2017-01-19 22:00:00, Buy, Completed, 88759.2067072801, 1
NZD_USD, 2017-01-25 18:00:00, Sell, Completed, -88759.2067072801, 3
NZD_USD, 2017-01-25 18:00:00, Sell, Canceled, -88759.2067072801, 2
NZD_USD, 2017-01-27 10:00:00, Buy, Submitted, 177527.0037685573, 4
NZD_USD, 2017-01-27 10:00:00, Sell, Submitted, -177527.0037685573, 5
NZD_USD, 2017-01-27 10:00:00, Sell, Submitted, -177527.0037685573, 6
NZD_USD, 2017-01-27 10:00:00, Buy, Accepted, 177527.0037685573, 4
NZD_USD, 2017-01-27 10:00:00, Sell, Accepted, -177527.0037685573, 5
NZD_USD, 2017-01-27 10:00:00, Sell, Accepted, -177527.0037685573, 6
NZD_USD, 2017-01-27 10:00:00, Buy, Completed, 177527.0037685573, 4
NZD_USD, 2017-01-31 10:00:00, Sell, Completed, -177527.0037685573, 6
NZD_USD, 2017-01-31 10:00:00, Sell, Canceled, -177527.0037685573, 5
NZD_USD, 2017-02-01 06:00:00, Buy, Submitted, 154219.84085095435, 7
NZD_USD, 2017-02-01 06:00:00, Sell, Submitted, -154219.84085095435, 8
NZD_USD, 2017-02-01 06:00:00, Sell, Submitted, -154219.84085095435, 9
NZD_USD, 2017-02-01 06:00:00, Buy, Accepted, 154219.84085095435, 7
NZD_USD, 2017-02-01 06:00:00, Sell, Accepted, -154219.84085095435, 8
NZD_USD, 2017-02-01 06:00:00, Sell, Accepted, -154219.84085095435, 9
NZD_USD, 2017-02-01 06:00:00, Buy, Completed, 154219.84085095435, 7
NZD_USD, 2017-02-07 02:00:00, Sell, Completed, -154219.84085095435, 9
NZD_USD, 2017-02-07 02:00:00, Sell, Canceled, -154219.84085095435, 8
NZD_USD, 2017-02-07 06:00:00, Buy, Submitted, 168170.58167102607, 10
NZD_USD, 2017-02-07 06:00:00, Sell, Submitted, -168170.58167102607, 11
NZD_USD, 2017-02-07 06:00:00, Sell, Submitted, -168170.58167102607, 12
NZD_USD, 2017-02-07 06:00:00, Buy, Accepted, 168170.58167102607, 10
NZD_USD, 2017-02-07 06:00:00, Sell, Accepted, -168170.58167102607, 11
NZD_USD, 2017-02-07 06:00:00, Sell, Accepted, -168170.58167102607, 12
NZD_USD, 2017-02-07 06:00:00, Buy, Completed, 168170.58167102607, 10
NZD_USD, 2017-02-07 10:00:00, Sell, Completed, -168170.58167102607, 11
NZD_USD, 2017-02-07 10:00:00, Sell, Canceled, -168170.58167102607, 12
NZD_USD, 2017-02-09 18:00:00, Sell, Submitted, -74900.21844039932, 13
NZD_USD, 2017-02-09 18:00:00, Buy, Submitted, 74900.21844039932, 14
NZD_USD, 2017-02-09 18:00:00, Buy, Submitted, 74900.21844039932, 15
NZD_USD, 2017-02-09 18:00:00, Sell, Accepted, -74900.21844039932, 13
NZD_USD, 2017-02-09 18:00:00, Buy, Accepted, 74900.21844039932, 14
NZD_USD, 2017-02-09 18:00:00, Buy, Accepted, 74900.21844039932, 15
NZD_USD, 2017-02-09 18:00:00, Sell, Completed, -74900.21844039932, 13
NZD_USD, 2017-03-02 22:00:00, Buy, Completed, 74900.21844039932, 15
NZD_USD, 2017-03-02 22:00:00, Buy, Canceled, 74900.21844039932, 14
NZD_USD, 2017-03-03 02:00:00, Sell, Submitted, -67146.37228022472, 16
NZD_USD, 2017-03-03 02:00:00, Buy, Submitted, 67146.37228022472, 17
NZD_USD, 2017-03-03 02:00:00, Buy, Submitted, 67146.37228022472, 18
NZD_USD, 2017-03-03 02:00:00, Sell, Accepted, -67146.37228022472, 16
NZD_USD, 2017-03-03 02:00:00, Buy, Accepted, 67146.37228022472, 17
