instrument,datetime,buy/sell,status,size,order ref
NZD_USD, 2017-01-19 22:00:00, Sell, Submitted, -88759.2067072801, 1
NZD_USD, 2017-01-19 22:00:00, Buy, Submitted, 88759.2067072801, 2
NZD_USD, 2017-01-19 22:00:00, Buy, Submitted, 88759.2067072801, 3
NZD_USD, 2017-01-19 22:00:00, Sell, Accepted, -88759.2067072801, 1
NZD_USD, 2017-01-19 22:00:00, Buy, Accepted, 88759.2067072801, 2
NZD_USD, 2017-01-19 22:00:00, Buy, Accepted, 88759.2067072801, 3
NZD_USD, 2017-01-19 22:00:00, Sell, Completed, -88759.2067072801, 1
NZD_USD, 2017-01-25 18:00:00, Buy, Completed, 88759.2067072801, 2
NZD_USD, 2017-01-25 18:00:00, Buy, Canceled, 88759.2067072801, 3
NZD_USD, 2017-01-27 10:00:00, Sell, Submitted, -174172.3364494508, 4
NZD_USD, 2017-01-27 10:00:00, Buy, Submitted, 174172.3364494508, 5
NZD_USD, 2017-01-27 10:00:00, Buy, Submitted, 174172.3364494508, 6
NZD_USD, 2017-01-27 10:00:00, Sell, Accepted, -174172.3364494508, 4
NZD_USD, 2017-01-27 10:00:00, Buy, Accepted, 174172.3364494508, 5
NZD_USD, 2017-01-27 10:00:00, Buy, Accepted, 174172.3364494508, 6
NZD_USD, 2017-01-27 10:00:00, Sell, Completed, -174172.3364494508, 4
NZD_USD, 2017-01-31 10:00:00, Buy, Completed, 174172.3364494508, 5
NZD_USD, 2017-01-31 10:00:00, Buy, Canceled, 174172.3364494508, 6
NZD_USD, 2017-02-01 06:00:00, Sell, Submitted, -148309.4505345228, 7
NZD_USD, 2017-02-01 06:00:00, Buy, Submitted, 148309.4505345228, 8
NZD_USD, 2017-02-01 06:00:00, Buy, Submitted, 148309.4505345228, 9
NZD_USD, 2017-02-01 06:00:00, Sell, Accepted, -148309.4505345228, 7
NZD_USD, 2017-02-01 06:00:00, Buy, Accepted, 148309.4505345228, 8
NZD_USD, 2017-02-01 06:00:00, Buy, Accepted, 148309.4505345228, 9
NZD_USD, 2017-02-01 06:00:00, Sell, Completed, -148309.4505345228, 7
NZD_USD, 2017-02-07 02:00:00, Buy, Completed, 148309.4505345228, 8
NZD_USD, 2017-02-07 02:00:00, Buy, Canceled, 148309.4505345228, 9
NZD_USD, 2017-02-07 06:00:00, Sell, Submitted, -158523.05102999427, 10
NZD_USD, 2017-02-07 06:00:00, Buy, Submitted, 158523.05102999427, 11
NZD_USD, 2017-02-07 06:00:00, Buy, Submitted, 158523.05102999427, 12
NZD_USD, 2017-02-07 06:00:00, Sell, Accepted, -158523.05102999427, 10
NZD_USD, 2017-02-07 06:00:00, Buy, Accepted, 158523.05102999427, 11
NZD_USD, 2017-02-07 06:00:00, Buy, Accepted, 158523.05102999427, 12
NZD_USD, 2017-02-07 06:00:00, Sell, Completed, -158523.05102999427, 10
NZD_USD, 2017-02-07 10:00:00, Buy, Completed, 158523.05102999427, 12
NZD_USD, 2017-02-07 10:00:00, Buy, Canceled, 158523.05102999427, 11
NZD_USD, 2017-02-09 18:00:00, Buy, Submitted, 72212.578816018, 13
NZD_USD, 2017-02-09 18:00:00, Sell, Submitted, -72212.578816018, 14
NZD_USD, 2017-02-09 18:00:00, Sell, Submitted, -72212.578816018, 15
NZD_USD, 2017-02-09 18:00:00, Buy, Accepted, 72212.578816018, 13
NZD_USD, 2017-02-09 18:00:00, Sell, Accepted, -72212.578816018, 14
NZD_USD, 2017-02-09 18:00:00, Sell, Accepted, -72212.578816018, 15
NZD_USD, 2017-02-09 18:00:00, Buy, Completed, 72212.578816018, 13
NZD_USD, 2017-03-02 22:00:00, Sell, Completed, -72212.578816018, 14
NZD_USD, 2017-03-02 22:00:00, Sell, Canceled, -72212.578816018, 15
